key,name,fdc_id,data_type,nutrient,local_value,usda_value,unit,delta_pct,flags
"jowar-flour","Jowar Flour (Sorghum Flour)","","","calories","329","","","","missing_usda"
"jowar-flour","Jowar Flour (Sorghum Flour)","","","saturatedFat","0.9","","","","missing_usda"
"jowar-flour","Jowar Flour (Sorghum Flour)","","","transFat","0","","","","missing_usda"
"jowar-flour","Jowar Flour (Sorghum Flour)","","","cholesterol","0","","","","missing_usda"
"jowar-flour","Jowar Flour (Sorghum Flour)","","","sodium","6","0","mg","-100","large_delta"
"jowar-flour","Jowar Flour (Sorghum Flour)","","","sugars","2.5","","","","missing_usda"
"jowar-flour","Jowar Flour (Sorghum Flour)","","","addedSugars","0","","","","missing_usda"
"jowar-flour","Jowar Flour (Sorghum Flour)","","","vitaminD","0","","","","missing_usda"
"amaranth-grain","Amaranth Grain","","","calories","371","102","kcal","-72.50673854447439","large_delta"
"amaranth-grain","Amaranth Grain","","","totalFat","7","1.58","g","-77.42857142857143","large_delta"
"amaranth-grain","Amaranth Grain","","","saturatedFat","1.5","","","","missing_usda"
"amaranth-grain","Amaranth Grain","","","transFat","0","","","","missing_usda"
"amaranth-grain","Amaranth Grain","","","cholesterol","0","","","","missing_usda"
"amaranth-grain","Amaranth Grain","","","totalCarbs","65","18.69","g","-71.24615384615385","large_delta"
"amaranth-grain","Amaranth Grain","","","sugars","1.7","","","","missing_usda"
"amaranth-grain","Amaranth Grain","","","addedSugars","0","","","","missing_usda"
"amaranth-grain","Amaranth Grain","","","protein","13.6","3.8","g","-72.05882352941177","large_delta"
"amaranth-grain","Amaranth Grain","","","vitaminD","0","","","","missing_usda"
"amaranth-grain","Amaranth Grain","","","calcium","159","47","mg","-70.44025157232704","large_delta"
"amaranth-grain","Amaranth Grain","","","iron","7.6","2.1","mg","-72.36842105263158","large_delta"
"amaranth-grain","Amaranth Grain","","","potassium","508","135","mg","-73.4251968503937","large_delta"
"quinoa","Quinoa","","","calories","368","","","","missing_usda"
"quinoa","Quinoa","","","saturatedFat","0.7","","","","missing_usda"
"quinoa","Quinoa","","","transFat","0","","","","missing_usda"
"quinoa","Quinoa","","","cholesterol","0","","","","missing_usda"
"quinoa","Quinoa","","","sugars","4.6","","","","missing_usda"
"quinoa","Quinoa","","","addedSugars","0","","","","missing_usda"
"quinoa","Quinoa","","","vitaminD","0","","","","missing_usda"
"buckwheat-flour","Buckwheat Flour","","","calories","335","","","","missing_usda"
"buckwheat-flour","Buckwheat Flour","","","saturatedFat","0.7","","","","missing_usda"
"buckwheat-flour","Buckwheat Flour","","","transFat","0","","","","missing_usda"
